Coh,Incoh,PE,keV,mu
NA,NA,NA,131,0.1529337285947741
NA,NA,NA,132,0.15257285176647598
NA,NA,NA,133,0.15221511064079077
NA,NA,NA,134,0.15185824634340367
NA,NA,NA,135,0.15150000000000005
NA,NA,NA,136,0.15113884092033136
NA,NA,NA,137,0.15077615115041426
NA,NA,NA,138,0.15041404092033137
NA,NA,NA,139,0.15005462046016568
NA,NA,NA,140,0.1497
NA,NA,NA,141,0.14935170772390063
NA,NA,NA,142,0.14900894363186748
NA,NA,NA,143,0.14867032567788407
NA,NA,NA,144,0.14833447181593376
NA,NA,NA,145,0.14800000000000005
NA,NA,NA,146,0.14766552818406634
NA,NA,NA,147,0.14732967432211602
NA,NA,NA,148,0.1469910563681326
NA,NA,NA,149,0.1466482922760994
NA,NA,NA,150,0.1463
